MilliSecond,ECG
1,60.4607597707929
2,190.656635118087
3,315.081513021535
4,431.09639848331904
5,536.987984593775
6,631.803836077165
7,715.194589693396
8,787.268001770106
9,848.459693583235
10,899.424770881541
11,940.9521456188049
12,973.900857654684
13,999.156391493143
14,1017.6042420799901
15,1030.11682116613
16,1037.5486694916801
17,1040.7341530833698
18,1040.4821625474601
19,1037.5649167085198
20,1032.70096221968
21,1026.53474675688
22,1019.61681089718
23,1012.388817877
24,1005.17687908487
25,998.194691162903
26,991.5553476350191
27,985.2897881566969
28,979.370212261723
29,973.736646742481
30,968.323811102373
31,963.083869686216
32,958.000349153065
33,953.0908784238229
34,948.400127650672
35,943.986600725417
36,939.906825390195
37,936.199910146109
38,932.875678956205
39,929.908816335392
40,927.239652738455
41,924.781382596147
42,922.4325890806641
43,920.092863237982
44,917.6795613232949
45,915.1431034654739
46,912.4765982853779
47,909.716737035813
48,906.935805845062
49,904.226530733886
50,901.682706576461
51,899.379575639266
52,897.3583193113161
53,895.6180896672009
54,894.116571251489
55,892.7781157883211
56,891.507822120574
57,890.208854747155
58,888.79983783
59,887.2298824977099
60,885.488308014384
61,883.605762479389
62,881.645718127495
63,879.688782480121
64,877.814145344919
65,876.0820624167909
66,874.520399175506
67,873.117641672166
68,871.823460812748
69,870.5560461379961
70,869.214352639732
71,867.693920251463
72,865.905187450188
73,863.791466762157
74,861.34205457345
75,858.596307945648
76,855.636623764999
77,852.5717913581441
78,849.515494029951
79,846.564943874738
80,843.7830311358811
81,841.186988999346
82,838.745816017857
83,836.3864358185741
84,834.006953204664
85,831.4949359529021
86,828.748365864495
87,825.696116011536
88,822.314159425447
89,818.6339172506069
90,814.7401371223599
91,810.7582630066229
92,806.834389810141
93,803.111966538883
94,799.709467316272
95,796.7030128236361
96,794.116356726546
97,791.919423657015
98,790.035848383015
99,788.358591742896
100,786.771245991383
101,785.1710011760949
102,783.4884567001469
103,781.7004049152589
104,779.832952793148
105,777.953731952995
106,776.154525917899
