MilliSecond,ECG
1,78.6730726455378
2,208.271344501525
3,331.403561599821
4,445.41389830299596
5,548.676597927338
6,640.43544351661
7,720.624706955951
8,789.6809598435291
9,848.359602426537
10,897.572515740073
11,938.2599471958721
12,971.303210994838
13,997.479054008769
14,1017.4524349232
15,1031.80090097143
16,1041.05947817206
17,1045.77253475612
18,1046.53912733187
19,1044.03857107538
20,1039.02651067089
21,1032.3007066221699
22,1024.64461513736
23,1016.76095169666
24,1009.2084909626401
25,1002.3552970891301
26,996.358398706662
27,991.1741618109489
28,986.598195324159
29,982.3281931358802
30,978.038916097249
31,973.457437209144
32,968.425684653958
33,962.936939262128
34,957.138241838861
35,951.2992762801109
36,945.755224897431
37,940.8363812460609
38,936.7997054874049
39,933.7751970489169
40,931.736131544275
41,930.4986833523869
42,929.7514472795889
43,929.1090076808059
44,928.179220480933
45,926.632761764919
46,924.2625457084698
47,921.020301334648
48,917.022326079615
49,912.5235161331309
50,907.864331824564
51,903.4011843394991
52,899.434862701304
53,896.1508024583541
54,893.5820272005479
55,891.6017350504629
56,889.946291072126
57,888.2630246480301
58,886.1741963425239
59,883.3472449471229
60,879.558978468538
61,874.740839955967
62,868.996163455885
63,862.585265309045
64,855.8803240965269
65,849.299405822059
66,843.2324540094901
67,837.971771399042
68,833.659552980493
69,830.263627033788
70,827.586507293531
71,825.30451825644
72,823.029157396167
73,820.381088952852
74,817.0635662056799
75,812.920471052571
76,807.967816385141
77,802.3924237876539
78,796.5175174588561
79,790.742682056718
80,785.4699451706559
81,781.0296523699569
82,777.621236854475
83,775.2802356116961
84,773.875549771524
85,773.1358676525191
86,772.7011697475219
87,772.190847275899
88,771.275278414756
89,769.737251391712
90,767.511481063506
91,764.69265127684
92,761.509027483113
93,758.268321673525
94,755.289045092976
95,752.832168552117
96,751.045980078087
97,749.933661727086
98,749.349005451664
99,749.020905407975
100,748.60272615703
101,747.738318998582
102,746.132472838359
103,743.61175905867
104,740.163015385
105,735.940883655667
106,731.2427369344099
107,726.456642557967
108,721.992073968333
109,718.2056139656329
110,715.3367420034599
111,713.4677415522709
112,712.514951921038
113,712.2499876414461
114,712.3453503207969
115,712.43814895387
116,712.2016880384309
117,711.411130360326
118,709.9915544608749
119,708.040440105508
120,705.8200325678599
121,703.719865287214
122,702.195756330634
123,701.6972746194169
124,702.597830007509
125,705.1394718449071
126,709.401375070738
127,715.2974730495121
128,722.603776236158
129,731.0097209154719
130,740.182783854902
131,749.834503271158
132,759.7756744788769
133,769.948119871927
134,780.4249516040221
135,791.378762435372
136,803.02397880445
137,815.545247872713
138,829.0264002292239
139,843.393370059502
140,858.381141460675
141,873.5306647384509
142,888.217440427169
143,901.7092255346629
144,913.2449206693199
145,922.121791079823
146,927.776928784422
147,929.849670296914
148,928.2140727895351
149,922.976699268896
150,914.441950832332
151,903.052017364778
152,889.312672564075
153,873.719564877215
154,856.699095369915
155,838.572867602764
156,819.549019725635
157,799.739554503275
158,779.199079145141
159,757.976563928894
160,736.1682807816319
161,713.9591313860069
162,691.6422358282871
163,669.6110243458149
164,648.323382970303
165,628.244878089567
166,609.784802119869
167,593.2391764401709
168,578.751003168083
169,566.295157226979
170,555.691737543754
171,546.645984868158
172,538.80802471676
173,531.842474848326
174,525.494827301672
175,519.64046069409
176,514.305718765069
177,509.65641068509103
178,505.95538341006204
179,503.497523943229
180,502.53554939284004
181,503.21174392023806
182,505.50949451369104
183,509.233975399429
184,514.025208137161
185,519.401023480528
186,524.822772894005
187,529.7731865092791
188,533.833443583143
189,536.745456832294
190,538.4466129346
191,539.06889381431
192,538.902219752961
193,538.3296931790401
194,537.747826775329
195,537.4881630930159
196,537.755636962047
197,538.593595534639
198,539.880346097112
