MilliSecond,ECG
1,54.7637079332239
2,184.410896337483
3,308.413560814192
4,424.073240014729
5,529.566668062296
6,623.798763421326
7,706.270773670314
8,776.9641012259469
9,836.23892460931
10,884.744909494563
11,923.340892050186
12,953.022436672946
13,974.8577342430199
14,989.9321270460339
15,999.3016877362869
16,1003.95673104532
17,1004.79592847373
18,1002.61129440871
19,998.083384349763
20,991.785137764808
21,984.192934954058
22,975.7032508113789
23,966.65181140236
24,957.3311420325759
25,948.003112802567
26,938.904503253886
27,930.245407741254
28,922.202415550135
29,914.9097347583411
30,908.4513931155631
31,902.856744620497
32,898.100694256967
33,894.109241969967
34,890.769655889219
35,887.944165300111
36,885.486430437294
37,883.2594376912069
38,881.152201461721
39,879.091844372287
40,877.047756935649
41,875.026649740092
42,873.06037669129
43,871.190041365918
44,869.4504276480051
45,867.858304774443
46,866.4062464267951
47,865.061786745945
48,863.770965274848
49,862.465501690597
50,861.0728663255741
51,859.527650713221
52,857.782088132773
53,855.81340589958
54,853.62598998355
55,851.2479106638181
56,848.7232429243089
57,846.1028651181081
58,843.4364797930671
59,840.7672338712401
60,838.129197498772
61,835.547807757097
62,833.042834268341
63,830.632874285968
64,828.340710472198
65,826.198865510207
66,824.254123368062
67,822.569855086398
68,821.225369331597
69,820.31164834215
70,819.923849726504
71,820.1525384639549
72,821.0758484484261
73,822.753899981024
74,825.226255196862
75,828.513054807691
76,832.619864755548
77,837.545485442103
78,843.2915139018841
79,849.871818114368
80,857.320158970477
81,865.6945801020869
82,875.076523740571
83,885.5626829571339
84,897.249411638081
85,910.211893929319
86,924.4818754041029
87,940.027626494694
88,956.738745073163
89,974.417125829799
90,992.7744029367881
91,1011.4364400555198
92,1029.9560315646002
93,1047.8338856488
94,1064.54525364384
95,1079.56827573099
96,1092.41094286757
97,1102.63341235891
98,1109.86293817237
99,1113.80244734877
100,1114.23634683613
101,1111.0357727835901
102,1104.16339468323
103,1093.67697787478
104,1079.73087163421
105,1062.57494893901
106,1042.55032241815
107,1020.0809611951801
108,995.6610976091259
109,969.838369320076
110,943.1915972330651
111,916.303152597579
112,889.728784230808
113,863.9680932474549
114,839.438237576772
115,816.455514131459
116,795.228928078001
117,775.865029948441
118,758.3811957550771
119,742.7253692844521
120,728.799916508466
121,716.48621039849
122,705.6662229976081
123,696.237829518642
124,688.121570367004
125,681.258518215977
126,675.601588447805
127,671.1040462994409
128,667.7079128336779
129,665.3342529412699
130,663.87798043654
131,663.208402127534
132,663.174117861263
133,663.6108436355901
134,664.351547822881
135,665.237826508978
136,666.131127321481
137,666.9223403600071
138,667.537452156058
139,667.937083168919
140,668.109764159923
141,668.061001980458
142,667.801270063552
143,667.335878236492
144,666.658551209641
145,665.749192095205
146,664.5755210656511
147,663.098054931044
148,661.277587495116
149,659.0842583171479
150,656.5072961382859
151,653.563393144115
152,650.3005250077169
153,646.79519703914
154,643.143695624717
155,639.449647938289
156,635.811128039703
157,632.310698062472
158,629.010021997879
159,625.948550878696
160,623.145403075506
161,620.603749426418
162,618.31647843502
163,616.271936324987
164,614.458949011365
165,612.870099798396
166,611.502476625958
167,610.355818035865
168,609.428302284375
169,608.7105414945021
170,608.179144250926
171,607.792098187491
172,607.487681983967
173,607.186801470296
174,606.7977893188599
175,606.223367119474
176,605.369882496336
177,604.158221107817
178,602.534829624625
179,600.480628444319
180,598.015721270473
181,595.198406028514
182,592.117504036319
183,588.878975750543
184,585.590470525485
185,582.347676758299
186,579.224738747528
187,576.269582207754
188,573.5038172136
189,570.9265985661821
190,568.522174010697
191,566.270238366764
192,564.1568716545211
193,562.183206046484
194,560.369039606287
195,558.749716492925
196,557.36752773415
197,556.260626727229
198,555.451727805917
199,554.938781799371
200,554.690000641669
201,554.644514227836
202,554.71814085277
203,554.812429223947
204,554.82539723815
205,554.663208226278
206,554.251869607735
207,553.5469905959629
208,552.539371976663
209,551.255283546811
210,549.750642426859
211,548.098822904991
212,546.374748636469
213,544.639894020258
214,542.931541623555
215,541.257740899116
216,539.598083472684
217,537.90956569813
218,536.136443095626
219,534.2226084165701
220,532.124560720349
221,529.822873259873
222,527.3302125023549
223,524.693932062298
224,521.991786651819
225,519.320867977958
226,516.781985609865
227,514.463370623512
228,512.427176330011
229,510.700987283144
230,509.275699667685
231,508.109419845104
232,507.135553952282
233,506.27385951629304
234,505.44381856708395
235,504.578031105269
236,503.63173138161795
237,502.586431251702
238,501.44870351228894
239,500.24484815241095
240,499.01135669910997
241,497.783143083538
242,496.58317443740503
243,495.41601863313304
244,494.265922052788
245,493.099013799768
246,491.86893654220495
247,490.52506545733706
248,489.022251532198
249,487.330550931675
250,485.44307581122297
251,483.380403076201
252,481.190748706335
253,478.94572158087306
254,476.73151809428595
255,474.63642976303396
256,472.73767534309303
257,471.090886080852
258,469.723908593252
259,468.635257462421
260,467.796943456355
261,467.16111861302
262,466.669451984328
263,466.26337508995397
264,465.893748151164
265,465.528818196053
266,465.157812271832
267,464.78796859967105
268,464.436538236796
269,464.120866754916
270,463.848536162356
271,463.609467301043
272,463.371894169132
273,463.083183663635
274,462.67546096446296
275,462.07482681282005
276,461.212890275303
277,460.03982582358805
278,458.53687815802397
279,456.72477777534004
280,454.66521173628195
281,452.454364173116
282,450.209649422625
283,448.052956386971
284,446.09417685560203
285,444.41750723257996
286,443.072068623616
287,442.06802111713205
288,441.37891036755303
289,440.94967314835196
290,440.708574144318
291,440.581539960307
292,440.506737393575
293,440.44596845579804
294,440.389999887228
295,440.35635565354795
296,440.380064654775
297,440.500540652693
298,440.74823055471603
299,441.13338434725
300,441.638910885748
301,442.218588405655
302,442.80065273202996
303,443.29650059423403
304,443.613715953854
305,443.671049263517
306,443.412663849386
307,442.819508672979
308,441.915246916225
309,440.7646851798901
310,439.46459423689697
311,438.12868067255
312,436.86994855116205
313,435.784069466761
314,434.936421545067
315,434.35428020636397
316,434.02504020921305
317,433.900994129962
318,433.910360981931
319,433.972702785876
320,434.01553762358003
321,433.98856881560897
322,433.872420245719
323,433.68010025245496
324,433.45073888364897
325,433.236863290152
326,433.08892174082604
327,433.04146991745904
328,433.103997676553
329,433.257635388637
330,433.457570163828
331,433.640156644863
332,433.73349767916
333,433.66997267377405
334,433.39856203803595
335,432.894411601178
336,432.163061448973
337,431.237851325382
338,430.171135876108
339,429.02134851905504
340,427.83872945833605
341,426.653005468499
342,425.46559976219595
343,424.24769617318196
344,422.94423691057
345,421.48277042331904
346,419.785617315188
347,417.783762512743
348,415.43048827956
349,412.71219290866696
350,409.65397291423994
351,406.318385792604
352,402.79688306293195
353,399.19527621446997
354,395.616720687528
355,392.146484627088
356,388.841494009118
357,385.72543010282004
358,382.789389520036
359,379.997996342738
360,377.29953673212503
361,374.637839462673
362,371.96412460115897
363,369.24728777565497
364,366.48028066738704
365,363.680148435979
366,360.88157338312004
367,358.125982965625
368,355.448739594181
369,352.86732144779296
370,350.373490485403
