MilliSecond,ECG
1,52.887160326633605
2,183.99503395038602
3,309.57820511669
4,426.911132632947
5,534.142393108304
6,630.154543073219
7,714.436815345358
8,786.969763282242
9,848.120982336373
10,898.5508028295129
11,939.127384970375
12,970.851305078305
13,994.789210922275
14,1012.01602898176
15,1023.56655364024
16,1030.3981099613302
17,1033.36610572614
18,1033.21382027791
19,1030.57550370584
20,1025.9889608256801
21,1019.9128099120401
22,1012.7447642305199
23,1004.83834296027
24,996.5154170633721
25,988.072613629194
26,979.781323148275
27,971.882607404435
28,964.5788201897831
29,958.024033399072
30,952.316528985697
31,947.496757453925
32,943.5521555746359
33,940.428688764752
34,938.0478494400571
35,936.325576869245
36,935.189194906367
37,934.5903884256539
38,934.5128659658329
39,934.973567877196
40,936.017360197897
41,937.7058347291991
42,940.101841752228
43,943.2524809065139
44,947.173275127672
45,951.836271905576
46,957.164295092924
47,963.032025361321
48,969.273448363723
49,975.693909864102
50,982.0840282554241
51,988.232989795896
52,993.939250122037
53,999.0175472897231
54,1003.3023995009801
55,1006.6487211422199
56,1008.93000765915
57,1010.0349943139099
58,1009.86462915335
59,1008.3312606860401
60,1005.36112538071
61,1000.9001655478
62,994.922070580363
63,987.436609568598
64,978.4963675092979
65,968.200590958676
66,956.695195315403
67,944.168487625805
68,930.8431398057851
69,916.965294602894
70,902.791405044854
71,888.5738586086909
72,874.5473031571901
73,860.917915782253
74,847.857317616598
75,835.501593684546
76,823.954959699744
77,813.2968617734031
78,803.590455306801
79,794.890440101311
80,787.248489450827
81,780.714682993154
82,775.3343973958771
83,771.1411517695971
84,768.146631825321
85,766.329852274104
86,765.6271260593049
87,765.924709903961
88,767.0574855587989
89,768.8163776899429
90,770.9639162383
91,773.254767410939
92,775.4573720296879
93,777.372998973775
94,778.8496232263409
95,779.789835656107
96,780.152734185058
97,779.9495203971651
98,779.233016340497
99,778.083010014823
100,776.590325415884
101,774.84160116926
102,772.906507725881
103,770.8301747606359
104,768.6329002299569
105,766.316524784459
106,763.87472709703
107,761.303638532868
108,758.6096648318539
109,755.81387607047
110,752.953752303432
111,750.081378665401
112,747.256925507896
113,744.5388681216
114,741.9736697401311
115,739.587015333579
116,737.378458542647
117,735.321049118331
118,733.3661013653219
119,731.452017267985
120,729.515464456832
121,727.5025056306321
122,725.377517806573
123,723.1287670619209
124,720.76996219392
125,718.337881146904
126,715.886772759253
127,713.4798097891479
128,711.17808825506
129,709.028935686191
130,707.056411689888
131,705.2567407565069
132,703.600086565618
133,702.038751334874
134,700.5197573406759
135,698.997232973737
136,697.4409906056401
137,695.84126956121
138,694.2103982759039
139,692.5805088523531
140,690.9965712089149
141,689.506067466642
142,688.1478903595121
143,686.942567717399
144,685.885366337396
145,684.944089690062
146,684.063013992536
147,683.172123068973
148,682.198673489617
149,681.0786172702079
150,679.766450868748
151,678.24188944025
152,676.512142834058
153,674.609737967816
154,672.586598304891
155,670.50530072357
156,668.4280079072789
157,666.40388160887
158,664.457859402648
159,662.584411806905
160,660.74792849812
161,658.889261424005
162,656.936550049584
163,654.818321628414
164,652.477113687616
165,649.880747368834
166,647.028603381809
167,643.952378820228
168,640.711564670279
169,637.384085444359
170,634.053707513179
171,630.796360085194
172,627.667745525315
173,624.695423262114
174,621.877776143284
175,619.189744869612
176,616.5934128344551
177,614.0504328248339
178,611.53210473303
179,609.024192869399
180,606.527793863347
181,604.058827576618
182,601.645830616059
183,599.324835975242
184,597.131864492245
185,595.094423967037
186,593.2237317790471
187,591.5097864426921
188,589.920953506365
189,588.408478030232
190,586.914923299784
191,585.384437076252
192,583.772756607752
193,582.055420626579
194,580.2325630619349
195,578.329358619039
196,576.392518963492
197,574.482809600403
198,572.663931753017
199,570.99025351321
200,569.49611103195
201,568.188692904313
202,567.046304692668
203,566.022803892744
204,565.057192350714
205,564.085464987699
206,563.0517513864589
207,561.917707174988
208,560.669581890222
209,559.321171546763
210,557.911074858763
211,556.4947162749289
212,555.133486733593
213,553.883093881607
214,552.78216850351
215,551.843139047131
216,551.048444377632
217,550.3535882135959
218,549.695778343278
219,549.005806841211
220,548.221088317273
221,547.297221827154
222,546.215354719527
223,544.984362561163
224,543.638267022488
225,542.2294409016549
226,540.818599056284
227,539.463430829921
228,538.2075600978379
229,537.071283201343
230,536.046350240996
231,535.0966832301401
232,534.164721847687
233,533.181842090505
234,532.08123812872
235,530.811111367774
236,529.34560901744
237,527.691495593961
238,525.889468407559
239,524.009548702044
240,522.140738921343
241,520.37701886913
242,518.803009011123
243,517.481744817443
244,516.445819094944
245,515.69317468075
246,515.1883069264051
247,514.86855849068
248,514.654669573362
249,514.463660971289
250,514.221189012061
251,513.870915694094
252,513.379705628619
253,512.738718435866
254,511.96075757822194
255,511.074367643799
256,510.115545707733
257,509.11799365174403
258,508.10354826733004
259,507.075306992908
260,506.01566122196704
261,504.89003285673203
262,503.655456012411
263,502.272206315483
264,500.71573096370696
265,498.985569523902
266,497.10937505096604
267,495.141794042008
268,493.158170622022
269,491.243647877816
270,489.47941331227304
271,487.928144045821
272,486.62143148859496
273,485.55270612024594
274,484.678021655391
275,483.92454681619904
276,483.203941298362
277,482.427267435771
278,481.51946512799003
279,480.4313387995599
280,479.14690918512
281,477.685150210222
282,476.095252067549
283,474.445469117785
284,472.80805168982596
285,471.243377699538
286,469.786155901978
287,468.436905782347
288,467.16099046667296
289,465.89536228382696
290,464.561464179428
291,463.081564987501
292,461.394866140392
293,459.469876162336
294,457.31096711171205
295,454.958590155796
296,452.483543743541
297,449.976044738139
298,447.531275468735
299,445.23385547622
300,443.143441561004
301,441.28399186069703
302,439.63965841741896
303,438.15871732253095
304,436.76435662079695
305,435.369906211955
306,433.89564417597296
307,432.28368683827006
308,430.50810093527605
309,428.578708624851
310,426.53805718181997
311,424.45242097641
312,422.398463711783
313,420.44740087072097
314,418.649608364458
315,417.02310907297095
316,415.548594739745
317,414.17256011974996
318,412.817853512265
319,411.39843197314906
320,409.83497734738404
321,408.069077951174
322,406.073673058711
323,403.85759270382795
324,401.46358577001
325,398.96094406804605
326,396.434349083265
327,393.970456744076
328,391.643956860514
329,389.50524087969103
330,387.57206537411497
331,385.827227980393
332,384.222793450681
333,382.689771375467
334,381.151304705474
335,379.53681415801003
336,377.79423368339303
337,375.89810406289496
338,373.852468260941
339,371.688758878609
340,369.45931258993204
341,367.226874737269
342,365.05131132706396
343,362.97641073138396
344,361.02021988015997
345,359.171340128284
346,357.391720969841
347,355.624926495559
348,353.807842158338
349,351.88317200394204
350,349.81048373508105
351,347.57435084176103
352,345.188201180215
353,342.692771530732
354,340.149311643018
355,337.62884730157697
356,335.199267279408
357,332.912466972126
358,330.794424171407
359,328.840462297827
360,327.016389467423
361,325.265358964289
362,323.519532370116
363,321.71437508162603
364,319.802627936474
365,317.76507449174403
366,315.61600184793497
367,313.402098685712
368,311.194373783816
369,309.07423809425
370,307.116782199629
371,305.375387198801
372,303.870936082043
373,302.587240873835
374,301.473699668241
375,300.454803352763
376,299.444155477388
377,298.360058963433
378,297.139656416454
379,295.749004913167
380,294.187322870013
381,292.484651268746
382,290.693809937077
383,288.878771245142
384,287.101626606226
385,285.410467496632
386,283.830584365187
387,282.36044452340695
388,280.97297813717097
389,279.622253292247
390,278.254532567319
391,276.820888593541
392,275.288006195756
393,273.64531062688803
394,271.908140550111
395,270.11713692292005
396,268.33342939373904
397,266.628852836916
398,265.072479415387
399,263.717215184952
400,262.589575046106
401,261.683932219409
402,260.962090252469
403,260.35866403976
404,259.791756349837
405,259.177170311247
406,258.44329942480897
407,257.543679500754
408,256.464811025502
409,255.22786924758702
410,253.884078621971
411,252.50436621191602
412,251.165151308546
413,249.93362273054
414,248.855449392975
415,247.946842090465
416,247.192749476005
417,246.55140818909598
418,245.963666711923
419,245.365214257185
420,244.699227651419
421,243.926715990109
422,243.032952464339
423,242.029240685687
424,240.94971384299302
425,239.843713152754
426,238.765064095814
427,237.760110346515
428,236.85691922461
429,236.05792163517899
430,235.337631918457
431,234.64656367583802
432,233.92105227585301
433,233.09664586828399
434,232.12154501195099
435,230.96697118106601
436,229.633006790898
437,228.149540586713
438,226.571998336312
439,224.972222555536
440,223.42603302813203
441,221.99961972651298
442,220.737394426978
443,219.653938682289
444,218.73135378889802
445,217.922155486114
446,217.15757472520698
447,216.36020214223302
448,215.45850121753202
449,214.399846741615
450,213.159377342939
451,211.74376559977
452,210.189935082857
453,208.55871662176702
454,206.92403937340902
455,205.359661649773
456,203.926309508221
457,202.661691880603
458,201.575316968644
459,200.649182761697
460,199.843450880148
461,199.105366699529
462,198.379874204529
463,197.619670905981
464,196.79261112524298
465,195.885794805191
466,194.906460132504
467,193.87969587613202
468,192.842965653605
469,191.837814755713
470,190.89967501084598
471,190.047717051788
472,189.27782484438998
473,188.561466767352
474,187.850868403228
475,187.088524254882
476,186.21894773701598
477,185.200649630159
478,184.015294578941
479,182.671687671515
480,181.20445229762902
481,179.668027574303
482,178.126743311227
483,176.64258588753998
484,175.263055621851
485,174.011678826358
486,172.883195685887
487,171.844674370729
488,170.842956571457
489,169.81679518677
490,168.709991974315
491,167.482411527117
492,166.117419421721
493,164.624833008226
494,163.039005017341
495,161.412667359552
496,159.807612880011
497,158.283431048818
498,156.886301604696
499,155.64041180639998
500,154.543620356288
501,153.567978560485
502,152.66535063477198
503,151.777207220037
504,150.84625222701402
505,149.82723588782102
506,148.695024368979
507,147.449020545559
508,146.113566029494
509,144.73416527975098
510,143.369742618796
511,142.081677339107
512,140.921624390436
513,139.921243495847
514,139.085693355829
515,138.39117399727502
516,137.787470286581
517,137.206243912475
518,136.573296432035
519,135.821689358849
520,134.903252906354
521,133.796485776559
522,132.509305736236
523,131.076277499905
524,129.55126761516598
525,127.997083623829
526,126.473632042433
527,125.026757926374
528,123.68057074807301
529,122.43527868514799
530,121.27074141079399
531,120.154381618037
532,119.05132034884
533,117.934296317726
534,116.791411519471
535,115.630375763772
536,114.478384412855
537,113.378018731691
538,112.380094769019
539,111.53412947151101
540,110.878041779937
541,110.42958681097001
542,110.180997055847
543,110.09713068129999
544,110.11825575032101
545,110.168471513125
546,110.167761924513
547,110.044337649262
548,109.745285118307
549,109.24393095589001
550,108.54246775791201
551,107.669873611747
552,106.675842413282
553,105.621011184338
554,104.56454486626998
555,103.55188318806499
556,102.60561565807
557,101.721188871492
558,100.86853773225799
559,99.999884869683
560,99.0619852548502
561,98.00951606849459
562,96.81623828807508
563,95.48206466763651
564,94.0355840866694
565,92.53164157706829
566,91.04385921244649
567,89.6531502905159
568,88.4341360193775
569,87.4420844772287
570,86.7032388297901
571,86.2103864659186
572,85.9243568860722
573,85.7812969210402
574,85.7044114365169
575,85.61752912788229
576,85.4573095170035
577,85.18186537753971
578,84.7751574541473
579,84.2470524958126
580,83.6288255383829
581,82.96465555872459
582,82.30059687885341
583,81.6728930120944
584,81.0980565265454
585,80.5673095793743
586,80.04712398774791
587,79.48619104666659
588,78.82694337793299
589,78.01817416031331
590,77.0261845915468
591,75.84284129162171
592,74.48882512876091
593,73.0111217334443
594,71.4755272499485
