MilliSecond,ECG
1,44.2678084626145
2,172.65880162639098
3,295.35870944573503
4,409.721704518361
5,513.994400426875
6,607.161327081759
7,688.802105522279
8,758.9640258505909
9,818.0498483298511
10,866.719481698672
11,905.807003132098
12,936.253826653309
13,959.0557997108169
14,975.2221011396131
15,985.7442156762011
16,991.572198851391
17,993.5955438675501
18,992.62736927751
19,989.391919077637
20,984.516340478908
21,978.527735578211
22,971.8554860965589
23,964.838256246935
24,957.734561937866
25,950.735029916012
26,943.97489110021
27,937.546137300566
28,931.508522145306
29,925.8980841506551
30,920.7323916541291
31,916.0130191102991
32,911.726667816673
33,907.846125922545
34,904.331882490168
35,901.13514789534
36,898.202249297144
37,895.479343000105
38,892.916152056343
39,890.467757643937
40,888.0942678142329
41,885.7593792666271
42,883.429640464714
43,881.075421005784
44,878.6729906834621
45,876.206706908479
46,873.670381383336
47,871.066966956653
48,868.4064131117059
49,865.702326406143
50,862.9687825383701
51,860.2184722736521
52,857.4621644570889
53,854.7089114095551
54,851.9666634943941
55,849.2432809218269
56,846.548091685722
57,843.8940644567081
58,841.3005831508
59,838.796485509828
60,836.422061622804
61,834.2280582094769
62,832.270520140231
63,830.602046381372
64,829.261789490374
65,828.2673313596381
66,827.6105460044549
67,827.257509437164
68,827.151429205928
69,827.2179963868069
70,827.373149341315
71,827.5328602016909
72,827.6235283314661
73,827.5907662082561
74,827.404510556669
75,827.059327407149
76,826.569789635173
77,825.9621344495889
78,825.26466250976
79,824.499406091844
80,823.677031419238
81,822.7959083330189
82,821.844695595819
83,820.8070850516341
84,819.667438726897
85,818.4160587324519
86,817.05314855229
87,815.5911562485879
88,814.0551784980321
89,812.480291601958
90,810.905220277081
91,809.3640598968559
92,807.8788821538569
93,806.4551812559899
94,805.080853922384
95,803.728547156922
96,802.360589409363
97,800.9353393789099
98,799.4144376861749
99,797.770930155478
100,795.9965501238839
101,794.105155769938
102,792.1307341049229
103,790.1204342389259
104,788.1243473878
105,786.1842952105321
106,784.3238849415931
107,782.542019700134
108,780.8117540700321
109,779.084896285049
110,777.300711940289
111,775.396629649513
112,773.3195823437309
113,771.036779520956
114,768.544214957719
115,765.8710302641811
116,763.078858423255
117,760.256270198264
118,757.5087272649499
119,754.9456119379871
120,752.667161044413
121,750.753727364525
122,749.258764375741
123,748.20623452377
124,747.592055063329
125,747.387953211826
126,747.54613664518
127,748.004173787965
128,748.690062008886
129,749.52740057558
130,750.439958685923
131,751.354535712514
132,752.2019697143179
133,752.917265298934
134,753.439727485376
135,753.713743380124
136,753.690927408956
137,753.333699788536
138,752.6192400564411
