MilliSecond,ECG
1,61.5838237668077
2,194.948010384393
3,322.87127417837996
4,442.574020816533
5,552.140507257375
6,650.380040477516
7,736.704253919817
8,811.019027250408
9,873.628437068218
10,925.148445224033
11,966.428075392021
12,998.475984212975
13,1022.392107933
14,1039.3056147191498
15,1050.32107057592
16,1056.4752430585902
17,1058.70627307869
18,1057.8354270633001
19,1054.5608016354402
20,1049.46169627393
21,1043.01156188937
22,1035.5969408303
23,1027.5389871730902
24,1019.11346714749
25,1010.5657030686999
26,1002.1181030719301
27,993.969958493854
28,986.291540226508
29,979.215596420098
30,972.829871663226
31,967.173676351852
32,962.2395140972591
33,957.9795562704671
34,954.316569964254
35,951.158475307664
36,948.4143860819389
37,946.008488702213
38,943.8885136698891
39,942.0276135619811
40,940.4197929882739
41,939.0698857982069
42,937.9805685681239
43,937.139765665943
44,936.5110851629379
45,936.028824053164
46,935.5989497100369
47,935.10685943837
48,934.43051640371
49,933.4563056712441
50,932.0952811933321
51,930.297224065917
52,928.059582912157
53,925.429358931181
54,922.497219157462
55,919.384101022599
56,916.222516252912
57,913.1370421267669
58,910.228394012551
59,907.562606825104
60,905.165123842853
61,903.020271189748
62,901.077043882515
63,899.261060117516
64,897.49034622816
65,895.691444603831
66,893.812825374506
67,891.8331323677229
68,889.762647340115
69,887.637919012979
70,885.510984295283
71,883.4356168588139
72,881.45349936606
73,879.5832134815131
74,877.814556257375
75,876.109360363055
76,874.408271829561
77,872.642092689535
78,870.745761182733
79,868.672334554011
80,866.404094674563
81,863.958434268471
82,861.387185409483
83,858.7691290085471
84,856.196581929845
85,853.7585244708259
86,851.524152926112
87,849.5304265977111
88,847.7756844321029
89,846.2202462126221
90,844.7939202271369
91,843.409425441467
92,841.979414177854
93,840.433683110228
94,838.733878885489
95,836.8835432388901
96,834.930825741371
97,832.962261200979
98,831.088432411848
99,829.4242910182829
100,828.06783999821
101,827.0810364098039
102,826.4770327879049
103,826.216799855441
104,826.215195760592
105,826.3546117491979
106,826.5038193877251
107,826.538804396074
108,826.361350397568
109,825.9116869739611
110,825.1735630116541
111,824.171578955041
112,822.9616786534821
113,821.6168512283591
114,820.210774940922
115,818.802593604254
116,817.42585480504
117,816.083697065047
118,814.751204222767
119,813.3842030057409
120,811.9323744200169
121,810.3543319158349
122,808.631926697992
123,806.780151425911
124,804.849785045623
125,802.922278906635
126,801.098259646221
127,799.482106937496
128,798.165680905972
129,797.214030257212
130,796.6551285157291
131,796.475158592238
132,796.620590364272
133,797.007227281713
134,797.533889503564
135,798.097239729267
136,798.606035265717
137,798.9938115261141
138,799.227390969567
139,799.3084228311909
140,799.267595869165
141,799.1534418196271
142,799.018252306026
143,798.9040101854699
144,798.831471013356
145,798.794583420159
146,798.761103671226
147,798.679331923394
148,798.489809522523
149,798.139481141838
150,797.594955690957
151,796.851651995334
152,795.9370298207781
153,794.907590696181
154,793.840094407633
155,792.818361677392
156,791.9180483630929
157,791.192327647312
158,790.6612668633279
159,790.306833755585
160,790.074308112265
161,789.879881403646
162,789.6233917657589
163,789.203977991382
164,788.535816519811
165,787.5614256049221
166,786.260402370727
167,784.6520638726829
168,782.791377855842
169,780.758560329456
170,778.644032811146
171,776.531839871055
172,774.4850147380929
173,772.5355094252831
174,770.6802120377879
175,768.8838113724389
176,767.0881916168539
177,765.226320503094
178,763.237981835376
179,761.084553849167
180,758.7589090438311
181,756.287604379933
182,753.7253695568401
183,751.1432202056619
184,748.612688471203
185,746.189762850435
186,743.90188916988
187,741.740763788614
188,739.662485319575
189,737.594596366711
190,735.4483104554159
191,733.133853314233
192,730.57622783941
193,727.7286332280161
194,724.580990898231
195,721.161156596786
196,717.5282719434911
197,713.760060335399
198,709.9366344062249
199,706.124159098096
200,702.362190464733
201,698.6571685654891
202,694.982417270661
203,691.283844389979
204,687.490654034611
205,683.530015757859
206,679.342977253124
207,674.89779147471
208,670.197771014204
209,665.282268211207
210,660.22053663743
211,655.099944516229
212,650.010934095102
213,645.031339438315
214,640.213150611657
215,635.574188078514
216,631.0958237746161
217,626.7269670710041
218,622.393778022662
219,618.013490391928
220,613.509555816039
221,608.825490720579
222,603.935598836154
223,598.850479029569
224,593.615511511725
225,588.302230019419
226,582.9943637697941
227,577.7718997216809
228,572.696740874979
229,567.802342545421
230,563.089090415867
231,558.526578140918
232,554.062143867396
233,549.633862814454
234,545.185659781143
235,540.681417557862
236,536.115189898053
237,531.515482907009
238,526.942571833546
239,522.479377428868
240,518.217746797228
241,514.2427560406401
242,510.617641860858
243,507.37141867044295
244,504.49134378392097
245,501.92235404179496
246,499.57396953123396
247,497.33313359646104
248,495.080781248666
249,492.709794869247
250,490.141454030261
251,487.337312282307
252,484.303959265198
253,481.08967633473
254,477.774256819848
255,474.454490525096
256,471.227934283239
257,468.17756974641503
258,465.359708546699
259,462.797042479239
260,460.477968773229
261,458.362002225251
262,456.390008171735
263,454.497385396579
264,452.627471801763
265,450.742053324506
266,448.826886173893
267,446.891638981983
268,444.964672289516
269,443.08392374488
270,441.28594437501704
271,439.595359745037
272,438.016632138229
273,436.529774141053
274,435.091607413292
275,433.642830885131
276,432.119032937986
277,430.46284215821
278,428.635055749533
279,426.62321504565
280,424.445437290669
281,422.147840580907
282,419.796498516258
283,417.465707041779
284,415.22384380267
285,413.11944859878196
286,411.17127866117403
287,409.36475804662695
288,407.65543815565496
289,405.97884708951597
290,404.264782411613
291,402.453246411591
292,400.50906956746695
293,398.43193635563205
294,396.258977801498
295,394.059849683025
296,391.92632786303
297,389.95793515936697
298,388.245248114552
299,386.85372116695504
300,385.81111633392305
301,385.10125712031095
302,384.665671919887
303,384.412667503472
304,384.231506382098
305,384.008762314817
306,383.64466969934404
307,383.067286022158
308,382.241472121678
309,381.170381319758
310,379.88918201020203
311,378.452849937279
312,376.920867169654
313,375.341641449045
314,373.74009271095804
315,372.111546350226
316,370.42278350690805
317,368.61953514117897
318,366.63910031661004
319,364.42567501007403
320,361.945028762396
321,359.19563711214204
322,356.214629852274
323,353.07727586694
324,349.88939858994695
325,346.77414768433096
326,343.855634834602
327,341.241681902717
328,339.008328221764
329,337.18924250802996
330,335.772184457636
331,334.703273649591
332,333.898519805859
333,333.260121087572
334,332.693954805587
335,332.124941315691
336,331.50759722314604
337,330.830110649026
338,330.111355359848
339,329.3914994517
340,328.718346076113
341,328.132317589314
342,327.65330496786703
343,327.27269240743
344,326.952612551034
345,326.63236399104403
346,326.240039392789
347,325.706480384094
