MilliSecond,ECG
1,86.34891615217991
2,219.485427414822
3,347.164453962974
4,466.66262631020203
5,576.135842544854
6,674.465078948129
7,761.117976344841
8,836.028837768041
9,899.497235282438
10,952.102580380151
11,994.631615411666
12,1028.01629600431
13,1053.2796621258599
14,1071.48790322404
15,1083.7075807725998
16,1090.96755183773
17,1094.22641119199
18,1094.34751169638
19,1092.08346807209
20,1088.0704083742598
21,1082.83053645977
22,1076.78131304693
23,1070.24970426327
24,1063.4893586063902
25,1056.69820794741
26,1050.03416142776
27,1043.6267931642099
28,1037.5836968928802
29,1031.99173718645
30,1026.91457593363
31,1022.38828081261
32,1018.41749205013
33,1014.9748183233901
34,1012.0044143313401
35,1009.4286550465699
36,1007.15669635366
37,1005.09413758138
38,1003.1528579439399
39,1001.26026301261
40,999.366930182621
41,997.450824920045
42,995.5166313485
43,993.5900660994071
44,991.7079714668301
45,989.906237128523
46,988.2089440982269
47,986.621166966709
48,985.125647801392
49,983.6832575322198
50,982.2375859445281
51,980.722988819933
52,979.07440275224
53,977.237408505623
54,975.177342229396
55,972.8857618331509
56,970.3821530948629
57,967.709927174
58,964.9277250970939
59,962.0982946100501
60,959.277665909192
61,956.5067086303419
62,953.805882143595
63,951.1735295058819
64,948.5879295579599
65,946.012549133472
66,943.403322237793
67,940.716880517345
68,937.9187481917039
69,934.9901145673821
70,931.931307779386
71,928.760554524854
72,925.508185855452
73,922.2079460427319
74,918.887606777569
75,915.560925374444
76,912.222752911164
77,908.848395591773
78,905.397076662832
79,901.81865002785
80,898.06233598703
81,894.0861005322549
82,889.8656992103031
83,885.401836750921
84,880.723233439705
85,875.8843180037829
86,870.957431977954
87,866.020758413166
88,861.144924051654
89,856.381936011118
90,851.758764952921
91,847.275592253865
92,842.9079693336771
93,838.612328685961
94,834.333996133734
95,830.016876655392
96,825.613999245523
97,821.096989823571
98,816.461811700147
99,811.729289293696
100,806.94057961004
101,802.1486855104249
102,797.407640207795
103,792.7620166671741
104,788.239653573172
105,783.848343959277
106,779.576053884163
107,775.3948207505231
108,771.267705468701
109,767.157312857272
110,763.034564811423
111,758.8860120062
112,754.717880373873
113,750.5559887596761
114,746.441370196912
115,742.422205328284
116,738.543936812782
117,734.8401441215719
118,731.326361953257
119,727.9977613810021
120,724.83035603552
121,721.7851000408031
122,718.8145065549451
123,715.871034210405
124,712.9157798684979
125,709.9259361398359
126,706.8997812247881
127,703.858189154368
128,700.841943147632
129,697.904906988111
130,695.103964742063
131,692.487502702986
132,690.0853222374071
133,687.902243452108
134,685.915605224496
135,684.076896559999
136,682.318185890769
137,680.5623683094519
138,678.735235220194
139,676.777541116913
140,674.654998989951
141,672.364277745347
142,669.933764225382
143,667.4184549157039
144,664.889662885995
145,662.421951244976
146,660.080164341072
147,657.9089447041571
148,655.92657569186
149,654.124054803055
150,652.469055559613
151,650.913589383156
152,649.40396681322
153,647.8913566033181
154,646.340928783825
155,644.737961663946
156,643.089755820821
157,641.4224944635221
158,639.773442047878
159,638.180608288333
160,636.6726308724859
161,635.261150070396
162,633.93684109316
163,632.669331387736
164,631.4110946802069
165,630.105038741063
166,628.694565355185
167,627.13433276076
168,625.399710230693
169,623.492741252438
170,621.442886557797
171,619.302064906404
172,617.135074885431
173,615.0076528050421
174,612.974885848084
175,611.0722191858821
176,609.310110163625
177,607.672846561156
178,606.121995357572
179,604.6040208555729
180,603.0603599902761
181,601.43818053279
182,599.700453069376
183,597.833401895938
184,595.849141944229
185,593.78255961828
186,591.683222436769
187,589.604433692562
188,587.592170106264
189,585.676236568415
190,583.865021963981
191,582.144539897816
192,580.4819039006691
193,578.832614075281
194,577.150175643737
195,575.396024343897
196,573.547895648836
197,571.605164831611
198,569.589666011118
199,567.5412719295571
200,565.509167445937
201,563.540687481698
202,561.670138673614
203,559.910345710489
204,558.248879862306
205,556.649674269207
206,555.059402147072
207,553.416903501854
